COUNTRY_lab,rama_agg,skill_level,cat_ocup,n_raw,n_wei
Brazil,Agro,Level 3-4,Wage/salary worker,21954,157761.94
Brazil,No agro,Level 1,Employer,901,8688.99
Brazil,No agro,Level 1,Own account worker,99006,1020628.32
Brazil,No agro,Level 1,Unpaid worker,10404,92311.93
Brazil,No agro,Level 1,Wage/salary worker,1253900,11900689.36
Brazil,No agro,Level 2,Employer,38957,383402.1
Brazil,No agro,Level 2,Own account worker,825462,8318144.68
Brazil,No agro,Level 2,Unpaid worker,33754,302232.56
Brazil,No agro,Level 2,Wage/salary worker,2508228,26014491.580000002
Brazil,No agro,Level 3-4,Employer,80729,905615.43
Brazil,No agro,Level 3-4,Own account worker,276208,3232014.27
Brazil,No agro,Level 3-4,Unpaid worker,4881,54701.02
Brazil,No agro,Level 3-4,Wage/salary worker,1092642,12027246.68
Cambodia,Agro,Level 1,Employer,95,1764.2
Cambodia,Agro,Level 1,Own account worker,1253,15642.22
Cambodia,Agro,Level 1,Unpaid worker,440,8551.08
Cambodia,Agro,Level 1,Wage/salary worker,13665,271328.18
Cambodia,Agro,Level 2,Employer,1276,17047.49
Cambodia,Agro,Level 2,Own account worker,278384,4818188.22
Cambodia,Agro,Level 2,Unpaid worker,219753,4724048.03
Cambodia,Agro,Level 2,Wage/salary worker,3187,49917.87
Cambodia,Agro,Level 3-4,Employer,26,260
Cambodia,Agro,Level 3-4,Own account worker,80,1094.17
Cambodia,Agro,Level 3-4,Unpaid worker,33,330
Cambodia,Agro,Level 3-4,Wage/salary worker,122,1521.66
Cambodia,No agro,Level 1,Employer,258,3165.95
Cambodia,No agro,Level 1,Own account worker,4980,88683.83
Cambodia,No agro,Level 1,Unpaid worker,987,23135.4
Cambodia,No agro,Level 1,Wage/salary worker,30985,560782.49
Cambodia,No agro,Level 2,Employer,2309,33814.79
Cambodia,No agro,Level 2,Own account worker,98727,1790411.49
Cambodia,No agro,Level 2,Unpaid worker,22360,479836.98
Cambodia,No agro,Level 2,Wage/salary worker,177466,2675695.21
Cambodia,No agro,Level 3-4,Employer,1072,13482.4
Cambodia,No agro,Level 3-4,Own account worker,6003,126823.81
Cambodia,No agro,Level 3-4,Unpaid worker,654,7032.95
Cambodia,No agro,Level 3-4,Wage/salary worker,38008,664813.93
Canada,Agro,Level 1,Own account worker,14,513.7
Canada,Agro,Level 1,Unpaid worker,4,175.14000000000001
Canada,Agro,Level 1,Wage/salary worker,125,4448.29
Canada,Agro,Level 2,Own account worker,903,32984.61
Canada,Agro,Level 2,Unpaid worker,191,7016
Canada,Agro,Level 2,Wage/salary worker,4040,148445.39
Canada,Agro,Level 3-4,Own account worker,3317,125339.78
Canada,Agro,Level 3-4,Unpaid worker,175,6103.35
Canada,Agro,Level 3-4,Wage/salary worker,2171,79729.99
Canada,No agro,Level 1,Own account worker,2114,76715.07
