iso3c,ref_area.label,country,region,income_group,income_group_2,cluster_pimsa,peq_estado,excl_tamaño,ocde,n_ocup_totales,n_tcp_fliares_totales,n_tcp_fliares_calif_baja,n_tcp_fliares_no_agro,n_no_agro_calif_baja,prop_ocup_totales,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja
CHE,Switzerland,Switzerland,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,4462.558181818182,474.34345454545456,19.480818181818183,376.42027272727273,233.3999090909091,0.22844891821580499,10.629406614306431,0.43769762255284245,8.435078208300418,5.249882243627226,0.1356308103247853
CHL,Chile,Chile,Latin America & Caribbean,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,8068.700818181818,1684.929,313.3577272727273,1489.5397272727273,1404.737090909091,0.41305589713781754,20.882283752586556,3.9091559886875715,18.460713327184394,17.535343649820323,2.0501817085071705
CIV,Côte d'Ivoire,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,7686.234,5774.196,228.21066666666667,2483.5932,453.53,0.3934765152435789,75.1238643007746,2.766552512983924,32.31222468636786,5.394089800718515,NA
CMR,Cameroon,Cameroon,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,8333.557,6222.148999999999,296.39799999999997,2414.734,530.908,0.42661451211916446,74.6637840240368,3.573581553443007,28.976030283347193,6.3418669917068415,1.581481973244276
COD,"Congo, Democratic Republic of the","Congo, Dem. Rep.",Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,27178.709,21946.589,2218.767,5417.942,1058.421,1.3913424579760771,80.74919599749937,8.147249140731134,19.93450829470965,3.894384647186201,NA
COG,Congo,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,1014.273,325.652,10.026,294.17900000000003,65.102,0.05192303611178771,32.10693767851456,1.0311494343899548,29.003926950633605,6.770646457271879,NA
COK,Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,7.490500000000001,0.8795,0.033,0.543,1.0175,3.834564283928941e-4,11.741539283091914,0.435471100554236,7.249182297576931,13.378476102820327,2.3569839082946555
COL,Colombia,Colombia,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,20133.23618181818,9608.982727272727,686.2756363636364,7516.626272727272,1480.2227272727273,1.0306680246005724,47.72696570236611,3.408302871426336,37.33441660767556,7.345415984624334,1.5209035829926398
COM,Comoros,Comoros,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,173.439,99.938,1.158,38.876000000000005,5.421,0.008878753018361277,57.621411562566664,0.6815412956347221,22.414797133286054,3.1900995692394605,0.49136336865590935
CPV,Cabo Verde,Cabo Verde,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,124.50750000000001,48.843,20.435499999999998,30.906,34.3834,0.006373833690424973,39.22896211071622,16.431147257589217,24.822601048129627,20.108968368059497,NA
