ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,catocup,calif
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_1,Status in employment (ICSE-93): 1. Employees,OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2019,109.256,B,Break in series,NA,NA,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Asalariado_patr,9.SD
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_2,Status in employment (ICSE-93): 2. Employers,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2019,46.519,B,Break in series,NA,NA,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Asalariado_patr,3.Alta
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_2,Status in employment (ICSE-93): 2. Employers,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2019,917.11,B,Break in series,NA,NA,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Asalariado_patr,2.Media
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_2,Status in employment (ICSE-93): 2. Employers,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2019,14.328,B,Break in series,NA,NA,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Asalariado_patr,1.Baja
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_2,Status in employment (ICSE-93): 2. Employers,OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2019,NA,U,Unreliable,NA,NA,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Asalariado_patr,9.SD
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_3,Status in employment (ICSE-93): 3. Own-account workers,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2019,63.961,B,Break in series,C2:6257,Nonstandard status in employment group: Including contributing family workers in subsistence farming,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,3.TCP_fliares,3.Alta
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_3,Status in employment (ICSE-93): 3. Own-account workers,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2019,5108.139,B,Break in series,C2:6257,Nonstandard status in employment group: Including contributing family workers in subsistence farming,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,3.TCP_fliares,2.Media
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_3,Status in employment (ICSE-93): 3. Own-account workers,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2019,256.223,B,Break in series,C2:6257,Nonstandard status in employment group: Including contributing family workers in subsistence farming,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,3.TCP_fliares,1.Baja
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_3,Status in employment (ICSE-93): 3. Own-account workers,OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2019,1.01,U,Unreliable,C2:6257,Nonstandard status in employment group: Including contributing family workers in subsistence farming,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,3.TCP_fliares,9.SD
AGO,Angola,BA:13951,LFS - Employment Survey,EMP_TEMP_SEX_STE_OCU_NB,"Employment by sex, status in employment and occupation (thousands)",SEX_T,Total,STE_ICSE93_4,Status in employment (ICSE-93): 4. Members of producers' cooperatives,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2019,2.388,B,Break in series,NA,NA,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing,3.TCP_fliares,3.Alta
