ref_area,ref_area.label,source,source.label,indicator,indicator.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,rama2,calif
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2010,0.254,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,2.Media
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2010,0.023,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,1.Baja
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2010,0.003,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,9.SD
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2010,6.277,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,3.Alta
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2010,15.971,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,2.Media
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2010,3.058,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,1.Baja
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2010,0.036,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,9.SD
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2010,6.199,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,3.Alta
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2010,5.464,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,2.Media
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2010,2.109,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,1.Baja
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2010,0.15,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,9.SD
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_X,Economic activity (Aggregate): X - Not elsewhere classified,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2010,0.055,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,9.SD,3.Alta
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_X,Economic activity (Aggregate): X - Not elsewhere classified,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2010,0.071,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,9.SD,2.Media
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_X,Economic activity (Aggregate): X - Not elsewhere classified,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2010,0.056,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,9.SD,1.Baja
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_X,Economic activity (Aggregate): X - Not elsewhere classified,OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2010,0.044,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,9.SD,9.SD
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,1.146,U,Unreliable,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Agro,3.Alta
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2017,2632.179,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Agro,2.Media
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2017,104.239,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Agro,1.Baja
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2017,2.671,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,1.Agro,9.SD
