ref_area,ref_area.label,catocup,1.Baja,2.Media,3.Alta,9.SD
CHL,Chile,3.TCP_fliares,315.5271818181818,1139.025090909091,227.5379090909091,6.381636363636363
CIV,Côte d'Ivoire,1.Asalariado_patr,333.47933333333333,1263.3043333333335,474.12833333333333,273.379
CIV,Côte d'Ivoire,3.TCP_fliares,228.21066666666667,5815.822666666667,133.97333333333333,55.37266666666667
CIV,Côte d'Ivoire,9.SD,41.211999999999996,163.1085,33.5275,34.980666666666664
CMR,Cameroon,1.Asalariado_patr,216.936,1192.868,661.233,52.375
CMR,Cameroon,3.TCP_fliares,296.39799999999997,5693.727,232.98200000000003,0
CMR,Cameroon,9.SD,23.884,38.62,22.482,2.006
COD,"Congo, Democratic Republic of the",1.Asalariado_patr,858.515,3056.233,3302.532,359.92499999999995
COD,"Congo, Democratic Republic of the",3.TCP_fliares,2314.8095,23113.691000000003,259.8355,333.893
COD,"Congo, Democratic Republic of the",9.SD,0,0,0,171.682
COG,Congo,1.Asalariado_patr,56.95,419.601,168.948,52.819
COG,Congo,3.TCP_fliares,10.026,308.916,7.872,0
COK,Cook Islands,1.Asalariado_patr,0.9670000000000001,3.1985,2.4909999999999997,0
COK,Cook Islands,3.TCP_fliares,0.033,0.605,0.2835,0
COK,Cook Islands,9.SD,0.039,0,0.061,0.845
COL,Colombia,1.Asalariado_patr,1127.5312727272726,5435.8322727272725,3961.736636363636,1.1388
COL,Colombia,3.TCP_fliares,686.2756363636364,5103.424909090909,3820.605727272727,0.7767272727272727
COL,Colombia,9.SD,2.9854545454545454,11.907363636363636,4.651090909090909,0
COM,Comoros,1.Asalariado_patr,4.486,39.449999999999996,26.123,3.367
COM,Comoros,3.TCP_fliares,1.158,97.50200000000001,1.19,0
CPV,Cape Verde,1.Asalariado_patr,15.3065,41.745,18.2035,2.4705
CPV,Cape Verde,3.TCP_fliares,20.435499999999998,27.798499999999997,0.8815,0.986
CPV,Cape Verde,9.SD,1.454,3.634,0.827,1.373
CRI,Costa Rica,1.Asalariado_patr,412.1209090909091,735.3375454545454,390.9990909090909,18.520363636363637
CRI,Costa Rica,3.TCP_fliares,60.776363636363634,402.75036363636366,55.936727272727275,0.7028
CYP,Cyprus,1.Asalariado_patr,55.025,154.5762727272727,118.73418181818181,5.169090909090909
CYP,Cyprus,3.TCP_fliares,5.281454545454546,30.476545454545455,13.232818181818182,0
CZE,Czechia,1.Asalariado_patr,275.9281818181818,2365.136,1688.0553636363636,3.4629
CZE,Czechia,3.TCP_fliares,10.909363636363636,446.3441818181818,255.05436363636363,0
CZE,Czechia,9.SD,0,0,0.1245,0
DEU,Germany,1.Asalariado_patr,3109.807818181818,17426.677454545454,14898.496909090909,324.39045454545453
DEU,Germany,3.TCP_fliares,108.73845454545454,1513.7166363636363,2700.039181818182,11.7648
DJI,Djibouti,1.Asalariado_patr,5.968,17.642,22.026,9.706999999999999
DJI,Djibouti,3.TCP_fliares,2.384,20.625999999999998,1.493,0.533
DJI,Djibouti,9.SD,0.127,1.192,0.234,0.792
