country_select
AFG
AGO
ALB
ARE
ARG
ARM
AUS
AUT
BEL
BEN
BFA
BGD
BGR
BHS
BIH
BLR
BLZ
BOL
BRA
BRB
BRN
BTN
BWA
CHE
CHL
CIV
CMR
COD
COG
COK
COL
COM
CPV
CRI
CYP
CZE
DEU
DJI
DNK
DOM
ECU
EGY
ESP
EST
ETH
FIN
FJI
FRA
FSM
GBR
GEO
GHA
GIN
GMB
GNB
GRC
GRD
GTM
GUY
HKG
HND
HRV
HUN
IDN
IND
IRL
IRN
ISL
ISR
ITA
JAM
JOR
JPN
KEN
KGZ
KHM
KIR
KOR
KOS
LAO
LBN
LBR
LCA
LKA
LSO
LTU
LUX
LVA
MAR
MDA
MDG
MDV
MEX
MHL
MKD
MLI
MLT
MMR
MNE
MNG
MOZ
MUS
MWI
NAM
NER
NIC
NIU
NLD
NOR
NPL
NRU
PAK
PAN
PER
PHL
PLW
PRI
PRT
PRY
PSE
ROU
RUS
RWA
SEN
SLB
SLE
SLV
SOM
SRB
STP
SUR
SVK
SVN
SWE
SWZ
SYC
TCD
TGO
THA
TJK
TLS
TON
TTO
TUN
TUR
TUV
TZA
UGA
URY
USA
VEN
VNM
VUT
WLF
WSM
YEM
ZAF
ZMB
ZWE
