ref_area,ref_area.label,catocup,1.Agro,2.No_agro,9.SD
THA,Thailand,9.SD,0,0,63.594
TJK,Tajikistan,1.Asalariado_patr,351.2715,888.0730000000001,13.934
TJK,Tajikistan,3.TCP_fliares,339.9465,234.648,2.619
TJK,Tajikistan,9.SD,29.1025,248.6835,3.034
TLS,Timor-Leste,1.Asalariado_patr,13.739250000000002,88.029,0.33925
TLS,Timor-Leste,3.TCP_fliares,168.03725,68.62975,0.07475
TLS,Timor-Leste,9.SD,42.944,14.962,0.4306666666666667
TON,Tonga,1.Asalariado_patr,1.854,17.009999999999998,0.156
TON,Tonga,3.TCP_fliares,9.557500000000001,5.8740000000000006,0.181
TTO,Trinidad and Tobago,1.Asalariado_patr,10.060857142857143,497.75014285714286,1.4993333333333334
TTO,Trinidad and Tobago,3.TCP_fliares,12.194714285714285,94.19628571428571,0
TTO,Trinidad and Tobago,9.SD,0.3275,0.11042857142857143,0.9083333333333333
TUN,Tunisia,1.Asalariado_patr,227.1408888888889,2295.9937777777777,59.75366666666667
TUN,Tunisia,3.TCP_fliares,275.4463333333333,396.9907777777778,12.142
TUN,Tunisia,9.SD,5.4142222222222225,9.588666666666667,21.711875000000003
TUR,Türkiye,1.Asalariado_patr,627.703090909091,17362.866818181818,0
TUR,Türkiye,3.TCP_fliares,4944.533181818182,2800.4416363636365,0
TUV,Tuvalu,1.Asalariado_patr,0.21050000000000002,2.1784999999999997,0
TUV,Tuvalu,3.TCP_fliares,0.469,0.2475,0
TUV,Tuvalu,9.SD,0,0.106,0.277
TZA,"Tanzania, United Republic of",1.Asalariado_patr,426.256,2713.8303333333333,190.6645
TZA,"Tanzania, United Republic of",3.TCP_fliares,8944.008333333333,3187.061,6578.4394999999995
TZA,"Tanzania, United Republic of",9.SD,79.018,154.7605,977.3035
UGA,Uganda,1.Asalariado_patr,696.1861666666666,2151.0233333333335,42.6395
UGA,Uganda,3.TCP_fliares,8167.758333333333,1941.8513333333333,130.83833333333334
UGA,Uganda,9.SD,16.980999999999998,4.890333333333333,374.208
URY,Uruguay,1.Asalariado_patr,99.17045454545455,1125.1844545454546,0
URY,Uruguay,3.TCP_fliares,48.68681818181818,329.8797272727273,2.0915
USA,United States of America,1.Asalariado_patr,1689.1264545454546,135800.375,0
USA,United States of America,3.TCP_fliares,829.1104545454546,8810.507727272727,0
VEN,"Venezuela, Bolivarian Republic of",1.Asalariado_patr,445.451,7261.5565,31.2385
VEN,"Venezuela, Bolivarian Republic of",3.TCP_fliares,542.689,4363.269833333334,37.006
VEN,"Venezuela, Bolivarian Republic of",9.SD,8.663,25.01233333333333,4.4495
VNM,Viet Nam,1.Asalariado_patr,2235.5985454545453,19276.81909090909,6.275
VNM,Viet Nam,3.TCP_fliares,20579.59990909091,9983.008181818182,38.07214285714286
VNM,Viet Nam,9.SD,10.163857142857143,21.616625000000003,4.602555555555556
VUT,Vanuatu,1.Asalariado_patr,4.034,28.045666666666666,0.5595
VUT,Vanuatu,3.TCP_fliares,50.724,11.194666666666667,0.9995
VUT,Vanuatu,9.SD,0.5176666666666666,1.0906666666666667,0.919
WLF,Wallis and Futuna,1.Asalariado_patr,0.0045,3.042,0
WLF,Wallis and Futuna,3.TCP_fliares,0.008,0.3395,0.829
WLF,Wallis and Futuna,9.SD,0,0,0
WSM,Samoa,1.Asalariado_patr,2.4373333333333336,26.308333333333334,0
WSM,Samoa,3.TCP_fliares,16.445666666666668,3.7916666666666665,0
WSM,Samoa,9.SD,0,0,0
YEM,Yemen,1.Asalariado_patr,393.93100000000004,2003.759,3.467
YEM,Yemen,3.TCP_fliares,829.566,946.4240000000001,0
YEM,Yemen,9.SD,2.773,13.642,0
ZAF,South Africa,1.Asalariado_patr,753.7362727272728,13070.539,2.2745454545454544
ZAF,South Africa,3.TCP_fliares,19.970909090909092,1499.1889090909092,0
ZAF,South Africa,9.SD,0,0,1.0098
ZMB,Zambia,1.Asalariado_patr,205.40766666666667,1215.4703333333332,0
ZMB,Zambia,3.TCP_fliares,2949.668666666667,1009.577,0
ZWE,Zimbabwe,1.Asalariado_patr,390.2896666666667,1107.8973333333333,0
ZWE,Zimbabwe,3.TCP_fliares,3231.0266666666666,807.4426666666667,0
ZWE,Zimbabwe,9.SD,1.1715,1.3785,0
