iso3c,calificacion,ocupacion,rama,freq
AUS,1.Baja,1.Asalariado_patr,2.No_agro,6.960049504101351
AUS,2.Media,1.Asalariado_patr,2.No_agro,40.9989778598296
AUS,3.Alta,1.Asalariado_patr,2.No_agro,41.27969421312541
AUS,1.Baja,3.TCP_fliares,2.No_agro,0.6722794848758662
AUS,2.Media,3.TCP_fliares,2.No_agro,3.6681017862169942
AUS,3.Alta,3.TCP_fliares,2.No_agro,3.646693273974234
AUT,1.Baja,1.Asalariado_patr,1.Agro,0.06311230680561011
AUT,2.Media,1.Asalariado_patr,1.Agro,1.2469632910745025
AUT,3.Alta,1.Asalariado_patr,1.Agro,0.019056718933652274
AUT,1.Baja,3.TCP_fliares,1.Agro,0.09119135302008674
AUT,2.Media,3.TCP_fliares,1.Agro,3.0375963399090766
AUT,3.Alta,3.TCP_fliares,1.Agro,0.09953907471924156
AUT,1.Baja,1.Asalariado_patr,2.No_agro,8.278053451721371
AUT,2.Media,1.Asalariado_patr,2.No_agro,44.854445193886924
AUT,3.Alta,1.Asalariado_patr,2.No_agro,36.28073817434214
AUT,1.Baja,3.TCP_fliares,2.No_agro,0.23208634150021681
AUT,2.Media,3.TCP_fliares,2.No_agro,2.120135570838968
AUT,3.Alta,3.TCP_fliares,2.No_agro,3.6770821832482086
BEL,1.Baja,1.Asalariado_patr,1.Agro,0.08857364627487631
BEL,2.Media,1.Asalariado_patr,1.Agro,0.20694403297530495
BEL,3.Alta,1.Asalariado_patr,1.Agro,0.011661787499775547
BEL,1.Baja,3.TCP_fliares,1.Agro,0.07260955077520641
BEL,2.Media,3.TCP_fliares,1.Agro,0.777909303354928
BEL,3.Alta,3.TCP_fliares,1.Agro,0.06736826019282242
BEL,1.Baja,1.Asalariado_patr,2.No_agro,9.661411337680027
BEL,2.Media,1.Asalariado_patr,2.No_agro,37.87845542492973
BEL,3.Alta,1.Asalariado_patr,2.No_agro,37.4820074824285
BEL,1.Baja,3.TCP_fliares,2.No_agro,0.29693379464752695
BEL,2.Media,3.TCP_fliares,2.No_agro,5.338240644620862
BEL,3.Alta,3.TCP_fliares,2.No_agro,8.117884734620434
BEN,1.Baja,1.Asalariado_patr,1.Agro,0.003812267786978084
BEN,2.Media,1.Asalariado_patr,1.Agro,1.0428475810289342
BEN,3.Alta,1.Asalariado_patr,1.Agro,0.015102157252993029
BEN,1.Baja,3.TCP_fliares,1.Agro,0.028160930332163783
BEN,2.Media,3.TCP_fliares,1.Agro,42.140779361255966
BEN,3.Alta,3.TCP_fliares,1.Agro,0.08568292377473678
BEN,1.Baja,1.Asalariado_patr,2.No_agro,0.5607819366648509
BEN,2.Media,1.Asalariado_patr,2.No_agro,8.846844569811637
BEN,3.Alta,1.Asalariado_patr,2.No_agro,4.831430620751774
BEN,1.Baja,3.TCP_fliares,2.No_agro,0.4519343602827514
BEN,2.Media,3.TCP_fliares,2.No_agro,39.002089019770665
BEN,3.Alta,3.TCP_fliares,2.No_agro,2.990534271286552
BFA,1.Baja,1.Asalariado_patr,1.Agro,0.06087307922690286
BFA,2.Media,1.Asalariado_patr,1.Agro,0.6188567108440274
BFA,3.Alta,1.Asalariado_patr,1.Agro,0.0492313412530711
BFA,1.Baja,3.TCP_fliares,1.Agro,0.7719320524329784
BFA,2.Media,3.TCP_fliares,1.Agro,25.272593451717114
BFA,3.Alta,3.TCP_fliares,1.Agro,0.42356090267651497
BFA,1.Baja,1.Asalariado_patr,2.No_agro,4.2812949578183845
BFA,2.Media,1.Asalariado_patr,2.No_agro,11.280060631246732
BFA,3.Alta,1.Asalariado_patr,2.No_agro,7.423041387160167
BFA,1.Baja,3.TCP_fliares,2.No_agro,4.672912593219959
BFA,2.Media,3.TCP_fliares,2.No_agro,39.648781523347466
BFA,3.Alta,3.TCP_fliares,2.No_agro,5.4968613690567025
BGD,1.Baja,1.Asalariado_patr,1.Agro,5.764624164664523
BGD,2.Media,1.Asalariado_patr,1.Agro,4.604454444582597
BGD,3.Alta,1.Asalariado_patr,1.Agro,0.025939002352137995
BGD,1.Baja,3.TCP_fliares,1.Agro,8.416660277641874
BGD,2.Media,3.TCP_fliares,1.Agro,25.054979437662638
BGD,3.Alta,3.TCP_fliares,1.Agro,0.02754464021884024
BGD,1.Baja,1.Asalariado_patr,2.No_agro,6.818071092605935
BGD,2.Media,1.Asalariado_patr,2.No_agro,17.4870445379287
