cluster_pimsa,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja,tcp_fliares_no_agro_resto
C1. Cap. avanzado,9.475201825835327,0.6963305938784137,8.18454056723902,10.21093066135165,0.6050174397717389,7.579523127467282
C2. Cap. extensión reciente c/desarrollo profundidad,28.305149864755087,3.549415343292363,21.634519400205253,12.595360404594384,2.0578147164838474,19.576704683721406
C3. Cap. extensión c/peso campo,43.03523985706262,5.192713688734591,21.46696777501398,12.043424011776,1.8724426716387192,19.59452510337526
C4. Cap. escasa extensión c/peso campo,70.21196313376771,17.843052095818027,29.350761169375854,10.935014209767756,6.212156137111202,23.13860503226465
C5. Pequeña propiedad en el campo,79.33358894479966,11.701191019467606,18.99734705028345,6.707103393758393,3.1181756800342404,15.87917137024921
